"schema_version","entity_id","queue_class","canonical_label","aliases","object_kind","source_basis","identity_status","normalization_status","dlmf_reference","lean_reuse_candidate","identification_status","notes"
"inventory-v1.0.0","watson_amplitude","cross_cutting","Watson amplitude","q","project_auxiliary","Direct generic amplitude in Olver 1997 Theorem 3.1","provisional","not_applicable","https://dlmf.nist.gov/2.3.ii","","not_assessed","The positive-real input is clear; the real-versus-complex codomain remains under source review."
"inventory-v1.0.0","watson_coefficients","cross_cutting","Watson coefficient sequence","a_s","project_auxiliary","Coefficient sequence in Olver 1997 equations (3.02)-(3.05)","provisional","resolved","https://dlmf.nist.gov/2.3.ii","","not_assessed","Indexing starts at zero; coefficient scalar type follows the unresolved amplitude codomain."
"inventory-v1.0.0","watson_exponent_parameters","cross_cutting","Watson exponent parameters","lambda; mu","project_auxiliary","Positive constants in Olver 1997 Theorem 3.1","provisional","resolved","https://dlmf.nist.gov/2.3.ii","","not_assessed","Both parameters are positive real constants and fixed in the large-x limit."
"inventory-v1.0.0","watson_laplace_variables","cross_cutting","Watson Laplace variables","t; x","project_auxiliary","Positive integration variable and large parameter in Olver 1997 equations (2.01) and (3.03)","provisional","resolved","https://dlmf.nist.gov/2.3.ii","","not_assessed","t is positive and x tends to positive infinity; source convergence is eventual in x."
"inventory-v1.0.0","watson_remainders","cross_cutting","Watson proof remainders","phi_n; Phi_n","project_auxiliary","Proof definitions in Olver 1997 equations (3.04) and the paragraph preceding (3.07)","provisional","resolved","https://dlmf.nist.gov/2.3.ii","","not_assessed","phi_n is the truncation remainder; Phi_n is a baseline-weighted tail primitive."
"inventory-v1.0.0","airy_ai","later_family","Airy function Ai","Ai","named_special_function","Direct locked-1997 definitions and normalizations in Ch. 2 §§8.1-8.3 and Ch. 11 §1","provisional","unresolved","https://dlmf.nist.gov/9.2","","not_assessed","Real-integral, entire-contour, initial-value, and real-basis presentations are transcribed; their mutual identification and independent source review remain pending."
"inventory-v1.0.0","airy_ai_contour_family","later_family","Admissible Airy Ai contour family","L","project_auxiliary","Oriented endpoint-sector family in Olver 1997 equation (8.02)","provisional","unresolved","https://dlmf.nist.gov/9.5","","not_assessed","Boundary-sector and strict-interior convergence assertions remain distinct; contour independence versus fixed-contour definition is unresolved."
"inventory-v1.0.0","airy_bi","later_family","Airy function Bi","Bi","named_special_function","Direct locked-1997 real integral and initial normalization in Ch. 11 equations (1.10)-(1.11)","provisional","unresolved","https://dlmf.nist.gov/9.2","","not_assessed","Real normalization and ordered-basis role are transcribed; complex continuation and independent identification review remain pending."
"inventory-v1.0.0","airy_real_basis","later_family","Ordered real Airy basis (Ai, Bi)","","project_auxiliary","Locked-1997 Ch. 11 §1 basis formulas and Wronskian (1.19)","provisional","unresolved","https://dlmf.nist.gov/9.2","","not_assessed","Wronskian orientation is locally indicated by the ratio derivative; project-wide convention and independent review remain pending."
"inventory-v1.0.0","airy_real_asymptotic_coefficients","later_family","Real Airy asymptotic coefficients","u_s; v_s","project_auxiliary","Locked-1997 Ch. 11 §1 product formulas and expansions (1.07)-(1.18)","provisional","unresolved","https://dlmf.nist.gov/9.7","","not_assessed","Zero-based coefficient formulas are transcribed; the source finite-remainder semantics and all normalization links remain unreviewed."
"inventory-v1.0.0","airy_weight_e","later_family","Airy weight E","E","named_comparison_function","Locked-1997 Ch. 11 equation (2.03), selected by the switch point c","provisional","unresolved","https://dlmf.nist.gov/9.8","","not_assessed","Positive piecewise weight is transcribed; its root selection, monotonicity, and agreement at the switch remain independently unreviewed."
"inventory-v1.0.0","airy_value_modulus_m","later_family","Airy value modulus M","M","named_comparison_function","Locked-1997 Ch. 11 equations (2.01)-(2.07)","provisional","unresolved","https://dlmf.nist.gov/9.8","","not_assessed","Positive-square-root and asymptotic normalizations are transcribed; zero-safe and real-restriction semantics remain unreviewed."
"inventory-v1.0.0","airy_value_phase_theta","later_family","Airy value phase theta","theta","named_comparison_function","Locked-1997 Ch. 11 equations (2.01)-(2.05)","provisional","unresolved","https://dlmf.nist.gov/9.8","","not_assessed","Continuous unwrapped phase is fixed at theta(c)=pi/4; quotient formulas are not a global principal-arctangent definition."
"inventory-v1.0.0","airy_derivative_modulus_n","later_family","Airy derivative modulus N","N","named_comparison_function","Locked-1997 Ch. 11 equations (2.08)-(2.12)","provisional","unresolved","https://dlmf.nist.gov/9.8","","not_assessed","Positive-square-root normalization and two-sided asymptotic scale are transcribed but independently unreviewed."
"inventory-v1.0.0","airy_derivative_phase_omega","later_family","Airy derivative phase omega","omega","named_comparison_function","Locked-1997 Ch. 11 equations (2.08)-(2.11)","provisional","unresolved","https://dlmf.nist.gov/9.8","","not_assessed","Continuous unwrapped phase is fixed by its positive-infinity limit; quotient singularities require continuation rather than totalization."
"inventory-v1.0.0","airy_weight_switch_c","later_family","Airy weight switch c","c","project_auxiliary","Locked-1997 Ch. 11 definition preceding equation (2.03)","provisional","unresolved","https://dlmf.nist.gov/9.8","","not_assessed","Exact definition is the least-absolute-value negative root of Ai=Bi; the printed decimal is only an approximation."
"inventory-v1.0.0","airy_auxiliary_lambda","later_family","Airy modulus supremum lambda","lambda","project_auxiliary","Locked-1997 Ch. 11 equation (2.13)","provisional","unresolved","https://dlmf.nist.gov/9.8","","not_assessed","Exact supremum definition is distinct from its reported decimal and from Watson's local lambda parameter."
"inventory-v1.0.0","airy_auxiliary_mu1","later_family","Weighted Airy Ai supremum mu_1","mu_1","project_auxiliary","Locked-1997 Ch. 11 equations (2.14)-(2.15)","provisional","unresolved","https://dlmf.nist.gov/9.8","","not_assessed","Exact all-real supremum is transcribed; the reported value one and limiting attainment require review."
"inventory-v1.0.0","airy_auxiliary_mu2","later_family","Weighted Airy Bi supremum mu_2","mu_2","project_auxiliary","Locked-1997 Ch. 11 equations (2.14)-(2.15)","provisional","unresolved","https://dlmf.nist.gov/9.8","","not_assessed","Exact all-real supremum is transcribed; the reported value one and limiting attainment require review."
"inventory-v1.0.0","periodic_bernoulli_functions","later_family","Periodic Bernoulli functions omega_s","omega_s","named_normalization","Direct locked-1997 recursive and generating-function definitions in Ch. 8 equations (1.01)-(1.07)","provisional","unresolved","https://dlmf.nist.gov/24.2","periodizedBernoulli","reuse_candidate","The pin supplies UnitAddCircle periodizedBernoulli through the [0,1) representative, including omega_1(k)=-1/2 after lifting; exact source identification remains unreviewed."
"inventory-v1.0.0","bernoulli_polynomials","later_family","Bernoulli polynomials","B_s(x)","named_special_function","Direct locked-1997 exponential generating function and identities in Ch. 8 equations (1.06)-(1.12)","provisional","unresolved","https://dlmf.nist.gov/24.2","Polynomial.bernoulli","reuse_candidate","Negative-B_1 convention and polynomial argument order are transcribed; pinned normalization identification remains unreviewed."
"inventory-v1.0.0","bernoulli_numbers","later_family","Bernoulli numbers","B_s","named_normalization","Direct locked-1997 generating function and low-index values in Ch. 8 equations (1.08)-(1.13)","provisional","unresolved","https://dlmf.nist.gov/24.2","bernoulli","reuse_candidate","The source uses B_1=-1/2 and warns about an older incompatible suffix/sign notation; exact pin bridge remains unreviewed."
