"schema_version","notation_id","entity_id","source_snapshot_id","source_locator","printed_symbol","binder_and_argument_order","ambient_type","parameter_roles","domain_and_branch","normalization","exceptional_values","derivative_variable","evidence_type","resolution_status","transcription_status","notes"
"inventory-v1.0.0","OLV97-N-AIR-ROT","airy_ai","SRC-OLV-1997-USER-PDF-20260905","Ch. 2 §8.3 eq. (8.06)","Ai(z exp(±2*pi*i/3))","z complex; rho = exp(2*pi*i/3) fixed","complex","rho rotates the argument and also appears as a value coefficient","Fixed exponential constants; no cube-root branch varying with z","Ai(z) + rho Ai(rho z) + rho^(-1) Ai(rho^(-1) z) = 0","Changing one rotation direction or one value coefficient changes the formula","z","direct_formula","normalization_unresolved","mathematical_transcription","Exact direction/coefficient pairing is transcribed; independent review pending."
"inventory-v1.0.0","OLV97-N-AIR-PRIME","airy_ai","SRC-OLV-1997-USER-PDF-20260905","Ch. 2 §8.2 eqs. (8.03)-(8.04)","Ai'(z)","differentiate Ai in its displayed argument z","complex","prime is the ordinary Airy-argument derivative","Entire argument domain after continuation","Initial derivative is -1/(3^(1/3) Gamma(1/3)) with positive real powers in the constant","No scaled turning-point derivative is meant","z","direct_formula","normalization_unresolved","mathematical_transcription","Derivative meaning and negative initial sign are explicit locally; source identification remains provisional."
"inventory-v1.0.0","OLV97-N-AIR-GAMMA","gamma","SRC-OLV-1997-USER-PDF-20260905","Ch. 2 §8.2 eq. (8.04)","Gamma(1/3), Gamma(2/3)","fixed positive real arguments 1/3 and 2/3","real","Gamma supplies Ai initial-value constants","Positive real arguments; no branch choice","Euler Gamma normalization at positive real values","No pole occurs at the displayed arguments","","direct_formula","normalization_unresolved","mathematical_transcription","The local formula is clear; project-wide Gamma-entity reconciliation remains provisional."
"inventory-v1.0.0","OLV97-N-AIR11-AI","airy_ai","SRC-OLV-1997-USER-PDF-20260905","Ch. 11 §§1.1-2.4 eqs. (1.02)-(1.09), (2.01)-(2.14)","Ai(x), Ai'(x)","x real; prime differentiates the Airy argument","real","Ai and its derivative form the first component of the ordered real basis","Improper real integral in (1.02); later algebraic formulas are on real x with stated positive-x restrictions where applicable","Initial values in (1.03) and Wronskian basis normalization in (1.19)","Ratio formulas are interpreted only through continuous phase continuation across denominator zeros","x","direct_formula","normalization_unresolved","mathematical_transcription","Agreement with the Chapter 2 entire Ai and all source formulas remains independently unreviewed."
"inventory-v1.0.0","OLV97-N-AIR11-BI","airy_bi","SRC-OLV-1997-USER-PDF-20260905","Ch. 11 §§1.2-2.4 eqs. (1.10)-(1.19), (2.01)-(2.14)","Bi(x), Bi'(x)","x real; prime differentiates the Airy argument","real","Bi and its derivative form the second component of the ordered real basis","Improper real integral in (1.10); later algebraic formulas are on real x","Initial values in (1.11) and Wronskian basis normalization in (1.19)","Ratio formulas are interpreted through continuous phase continuation across denominator zeros","x","direct_formula","normalization_unresolved","mathematical_transcription","Complex continuation and independent source identification remain unresolved."
"inventory-v1.0.0","OLV97-N-AIR11-XI","airy_real_asymptotic_coefficients","SRC-OLV-1997-USER-PDF-20260905","Ch. 11 §1.1 preceding eq. (1.04)","xi = (2/3) x^(3/2)","x > 0","real","xi is the positive real asymptotic scale","Positive real power x^(3/2)","Fixed factor 2/3","x=0 is outside the displayed positive-x Bessel/asymptotic parameterization","","direct_formula","normalization_unresolved","mathematical_transcription","The same positive scale is used in positive- and negative-argument formulas with x>0."
"inventory-v1.0.0","OLV97-N-AIR11-UV","airy_real_asymptotic_coefficients","SRC-OLV-1997-USER-PDF-20260905","Ch. 11 §1.1 preceding eqs. (1.07)-(1.09)","u_s, v_s","s in Nat; u_0 = v_0 = 1; product formula for s >= 1","real","u_s and v_s are value and derivative expansion coefficients","Finite rational products; no branch choice","Zero-based product normalization with v_s = -((6s+1)/(6s-1)) u_s for s>=1","The s=0 values are separately defined and must not use the quotient formula","","direct_formula","normalization_unresolved","mathematical_transcription","Infinite displayed series have finite-asymptotic, not convergent-series, semantics."
"inventory-v1.0.0","OLV97-N-AIR11-W","airy_real_basis","SRC-OLV-1997-USER-PDF-20260905","Ch. 11 §1.2 eq. (1.19) and following ratio derivative","W{Ai(x), Bi(x)}","ordered pair Ai, Bi; x real","real","Wronskian of the ordered real Airy basis","All real x","Ai Bi' - Ai' Bi = 1/pi","Swapping the basis order reverses the sign","x","direct_formula","normalization_unresolved","mathematical_transcription","The local ratio derivative fixes the orientation; project-wide Wronskian convention remains unreviewed."
"inventory-v1.0.0","OLV97-N-AIR11-E","airy_weight_e","SRC-OLV-1997-USER-PDF-20260905","Ch. 11 §§2.1-2.2 eqs. (2.01)-(2.07)","E(x), E^(-1)(x)","x real; switch c fixed","real","positive weight balancing Ai and Bi","Piecewise: sqrt(Bi/Ai) for x>=c and 1 for x<=c; positive real square root","E^(-1) means literal reciprocal 1/E","Agreement at c and denominator nonvanishing are required; decimal c is not the definition","x","direct_formula","normalization_unresolved","mathematical_transcription","Monotonicity and E>=1 are source claims but remain independently unreviewed."
"inventory-v1.0.0","OLV97-N-AIR11-M","airy_value_modulus_m","SRC-OLV-1997-USER-PDF-20260905","Ch. 11 §§2.1-2.2 eqs. (2.01)-(2.07)","M(x)","x real","real","common value modulus for weighted Ai and Bi","Nonnegative real square root; source behavior makes the intended modulus positive","Recovered from E^2 Ai^2 + E^(-2) Bi^2","Phase formulas must handle zeros by continuation rather than totalized quotients","x","direct_formula","normalization_unresolved","mathematical_transcription","Piecewise simplifications and two-sided asymptotics are transcribed but unreviewed."
"inventory-v1.0.0","OLV97-N-AIR11-THETA","airy_value_phase_theta","SRC-OLV-1997-USER-PDF-20260905","Ch. 11 §§2.1-2.2 eqs. (2.01)-(2.05)","theta(x)","x real; continuous branch fixed by theta(c)=pi/4","real","unwrapped phase for the value pair","Continuous real branch; quotient arctangent formulas are local representatives","E Ai = M sin(theta), E^(-1) Bi = M cos(theta)","Denominator zeros do not define a principal-arctangent totalization","x","direct_formula","normalization_unresolved","mathematical_transcription","Additive multiples of pi are fixed by continuity and the value at c."
"inventory-v1.0.0","OLV97-N-AIR11-C","airy_weight_switch_c","SRC-OLV-1997-USER-PDF-20260905","Ch. 11 §2.2 preceding eq. (2.03)","c","least-absolute-value negative root of Ai(x)=Bi(x)","real","switch point in E, M, and theta","Selected negative real root","Root-ordering condition is exact","The displayed -0.36605 is only a five-decimal approximation","","direct_formula","normalization_unresolved","mathematical_transcription","Existence, uniqueness under the selector, and independent source review remain pending."
"inventory-v1.0.0","OLV97-N-AIR11-N","airy_derivative_modulus_n","SRC-OLV-1997-USER-PDF-20260905","Ch. 11 §2.2 eqs. (2.08)-(2.12)","N(x)","x real","real","common derivative modulus for weighted Ai' and Bi'","Nonnegative real square root with formulas split at c","Recovered from the weighted derivative pair","Quotient phase formulas require continuation at denominator zeros","x","direct_formula","normalization_unresolved","mathematical_transcription","The all-real formula and two-sided asymptotic scale remain independently unreviewed."
"inventory-v1.0.0","OLV97-N-AIR11-OMEGA","airy_derivative_phase_omega","SRC-OLV-1997-USER-PDF-20260905","Ch. 11 §2.2 eqs. (2.08)-(2.11)","omega(x)","x real; continuous branch fixed at positive infinity","real","unwrapped phase for the derivative pair","Continuous real branch with omega(x) tending to -pi/4 as x tends to positive infinity","E Ai' = N sin(omega), E^(-1) Bi' = N cos(omega)","Denominator zeros do not define a principal-arctangent totalization","x","direct_formula","normalization_unresolved","mathematical_transcription","The limiting condition fixes the additive multiple of pi."
"inventory-v1.0.0","OLV97-N-AIR11-LAMBDA","airy_auxiliary_lambda","SRC-OLV-1997-USER-PDF-20260905","Ch. 11 §2.4 eqs. (2.13), (2.15)","lambda","supremum over all real x","real","global supremum of pi |x|^(1/2) M(x)^2","Positive real square root and absolute value","Exact supremum in (2.13)","The reported 1.04... is approximate; this lambda is unrelated to Watson's parameter","","direct_formula","normalization_unresolved","mathematical_transcription","Reported approach near x=1.33... is descriptive numerical information, not the definition."
"inventory-v1.0.0","OLV97-N-AIR11-MU1","airy_auxiliary_mu1","SRC-OLV-1997-USER-PDF-20260905","Ch. 11 §2.4 eqs. (2.14)-(2.15)","mu_1","supremum over all real x","real","global weighted Ai supremum","Uses real absolute value and positive E, M","Exact supremum in (2.14)","Reported value 1 is separate from the definition and approached as x tends to negative infinity","","direct_formula","normalization_unresolved","mathematical_transcription","Independent source and proof review remain pending."
"inventory-v1.0.0","OLV97-N-AIR11-MU2","airy_auxiliary_mu2","SRC-OLV-1997-USER-PDF-20260905","Ch. 11 §2.4 eqs. (2.14)-(2.15)","mu_2","supremum over all real x","real","global weighted Bi supremum","Uses real absolute value and positive E, M","Exact supremum in (2.14)","Reported value 1 is separate from the definition and approached as x tends to negative infinity","","direct_formula","normalization_unresolved","mathematical_transcription","Independent source and proof review remain pending."
"inventory-v1.0.0","OLV97-N-EM-OMEGA","periodic_bernoulli_functions","SRC-OLV-1997-USER-PDF-20260905","Ch. 8 §1 unnumbered setup and eqs. (1.01)-(1.07)","omega_s(x)","s in Nat; x real; recursive primitives for s>=2","real","omega_1 is the periodic saw-tooth; higher omega_s are zero-mean periodic primitives","Uses fractional part in [0,1); omega_1(k)=-1/2 at integers","s! omega_s(x) = B_s({x}); every primitive constant is fixed by zero mean","Derivative identities are cellwise at jumps; omega_0=1 is introduced later for the generating function","x","direct_formula","normalization_unresolved","mathematical_transcription","The pin's periodizedBernoulli is a reuse candidate; source agreement remains unreviewed."
"inventory-v1.0.0","OLV97-N-EM-BPOLY","bernoulli_polynomials","SRC-OLV-1997-USER-PDF-20260905","Ch. 8 §1 eqs. (1.06)-(1.12) and Theorem 1.1","B_s(x)","s in Nat; polynomial argument x","mixed","Bernoulli polynomial degree/index is s and argument is x","Generating series uses complex t with |t|<2*pi; periodic and bound formulas use real x","Exponential generating function t exp(x t)/(exp(t)-1)","The exact complex-x reach of nearby prose is unresolved; Theorem 1.1 uses x in [0,1]","x","direct_formula","normalization_unresolved","mathematical_transcription","Coefficient order, reflection, midpoint, low-index values, and bounds are transcribed; pin bridge remains unreviewed."
"inventory-v1.0.0","OLV97-N-EM-BNUM","bernoulli_numbers","SRC-OLV-1997-USER-PDF-20260905","Ch. 8 §1 eqs. (1.08)-(1.13)","B_s","s in Nat","real","Bernoulli number is B_s(0)","Defined by a power series for complex t with |t|<2*pi","Negative-B_1 convention: B_1=-1/2","Odd B_s vanish for odd s>=3; older incompatible suffix/sign notation is excluded","","direct_formula","normalization_unresolved","mathematical_transcription","Low-index values through B_10 and the even sign are transcribed; pin bridge remains unreviewed."
"inventory-v1.0.0","OLV97-N-EM-ZETA","riemann_zeta_candidate","SRC-OLV-1997-USER-PDF-20260905","Ch. 8 §1 eq. (1.13)","zeta(2s)","s positive integer","real","positive-even Dirichlet series and Bernoulli evaluation","Absolutely convergent real series sum over j>=1","sum j^(-2s) = (-1)^(s-1) (2*pi)^(2s) B_(2s)/(2 (2s)!)","This occurrence does not specify analytic continuation, pole behavior, or other arguments","","direct_formula","normalization_unresolved","mathematical_transcription","The local positive-even entity link is provisional and does not yet rename the global candidate."
