"schema_version","occurrence_id","notation_id","notation_role","link_status","notes"
"inventory-v1.0.0","OLV10P-O0001","OLV10P-N0001","defined_notation","provisional","Link is based on the 2010 preview and awaits locked-edition reconciliation."
"inventory-v1.0.0","OLV10P-O0002","OLV10P-N0002","defined_notation","provisional","Link is based on the 2010 preview and awaits locked-edition reconciliation."
"inventory-v1.0.0","OLV97-C03-WATSON-BOUNDS","OLV97-N-WAT-GAMMA","used_notation","provisional","The explicit bound contains the Gamma moment; independent review pending."
"inventory-v1.0.0","OLV97-C02-AIRY-AI","OLV97-N-AIR-AI","defined_notation","provisional","Direct first collation; real/complex identification and independent review pending."
"inventory-v1.0.0","OLV97-C02-AIRY-AI","OLV97-N-AIR-L","defined_notation","provisional","Direct contour notation; admissibility and contour-equivalence policy remain unreviewed."
"inventory-v1.0.0","OLV97-C02-AIRY-AI","OLV97-N-AIR-ROT","used_notation","provisional","Direct rotation formula; direction/coefficient pairing awaits independent review."
"inventory-v1.0.0","OLV97-C02-AIRY-AI","OLV97-N-AIR-PRIME","used_notation","provisional","Direct derivative notation; normalization review pending."
"inventory-v1.0.0","OLV97-C02-AIRY-AI","OLV97-N-AIR-GAMMA","used_notation","provisional","Positive-real Gamma normalizers occur directly; entity reconciliation remains pending."
"inventory-v1.0.0","OLV97-C11-AIRY-REAL","OLV97-N-AIR11-AI","used_notation","provisional","Direct real Ai notation; agreement with Chapter 2 Ai remains unreviewed."
"inventory-v1.0.0","OLV97-C11-AIRY-REAL","OLV97-N-AIR11-BI","defined_notation","provisional","Direct real Bi normalization; independent review pending."
"inventory-v1.0.0","OLV97-C11-AIRY-REAL","OLV97-N-AIR11-XI","defined_notation","provisional","Direct positive asymptotic scale; independent review pending."
"inventory-v1.0.0","OLV97-C11-AIRY-REAL","OLV97-N-AIR11-UV","defined_notation","provisional","Direct coefficient definitions; finite-asymptotic semantics remain unreviewed."
"inventory-v1.0.0","OLV97-C11-AIRY-REAL","OLV97-N-AIR11-W","used_notation","provisional","Direct Wronskian value and local orientation evidence; project-wide convention pending."
"inventory-v1.0.0","OLV97-C11-AIRY-AUX","OLV97-N-AIR11-AI","used_notation","provisional","Auxiliary formulas use real Ai and Ai'; independent review pending."
"inventory-v1.0.0","OLV97-C11-AIRY-AUX","OLV97-N-AIR11-BI","used_notation","provisional","Auxiliary formulas use real Bi and Bi'; independent review pending."
"inventory-v1.0.0","OLV97-C11-AIRY-AUX","OLV97-N-AIR11-E","defined_notation","provisional","Direct weight definition; root and piecewise semantics remain unreviewed."
"inventory-v1.0.0","OLV97-C11-AIRY-AUX","OLV97-N-AIR11-M","defined_notation","provisional","Direct value-modulus definition; positivity and asymptotic claims remain unreviewed."
"inventory-v1.0.0","OLV97-C11-AIRY-AUX","OLV97-N-AIR11-THETA","defined_notation","provisional","Direct continuous phase specification; branch semantics remain unreviewed."
"inventory-v1.0.0","OLV97-C11-AIRY-AUX","OLV97-N-AIR11-C","defined_notation","provisional","Direct exact root selector; printed decimal is not used as the definition."
"inventory-v1.0.0","OLV97-C11-AIRY-AUX","OLV97-N-AIR11-N","defined_notation","provisional","Direct derivative-modulus definition; independent review pending."
"inventory-v1.0.0","OLV97-C11-AIRY-AUX","OLV97-N-AIR11-OMEGA","defined_notation","provisional","Direct continuous derivative-phase specification; branch semantics remain unreviewed."
"inventory-v1.0.0","OLV97-C11-AIRY-AUX","OLV97-N-AIR11-LAMBDA","defined_notation","provisional","Direct supremum definition; local symbol is distinct from Watson's lambda."
"inventory-v1.0.0","OLV97-C11-AIRY-AUX","OLV97-N-AIR11-MU1","defined_notation","provisional","Direct supremum definition; reported value remains independently unreviewed."
"inventory-v1.0.0","OLV97-C11-AIRY-AUX","OLV97-N-AIR11-MU2","defined_notation","provisional","Direct supremum definition; reported value remains independently unreviewed."
"inventory-v1.0.0","OLV97-C08-EULER-MACLAURIN","OLV97-N-EM-OMEGA","defined_notation","provisional","Direct periodic-primitive and Bernoulli-periodization formulas; pin identification remains unreviewed."
"inventory-v1.0.0","OLV97-C08-EULER-MACLAURIN","OLV97-N-EM-BPOLY","defined_notation","provisional","Direct Bernoulli-polynomial formulas; independent normalization review pending."
"inventory-v1.0.0","OLV97-C08-EULER-MACLAURIN","OLV97-N-EM-BNUM","defined_notation","provisional","Direct Bernoulli-number convention; pin identification remains unreviewed."
"inventory-v1.0.0","OLV97-C08-EULER-MACLAURIN","OLV97-N-EM-ZETA","used_notation","provisional","Direct positive-even Dirichlet-series occurrence; global zeta identity remains unresolved."
